,incident_id,date,city,county,state,num_offenders,num_victims_killed,num_victims_injured,firstcod,secondcod,ak_47_pattern,ar_15_pattern,type,situation_type,location_type,location,gis_code,longitude,latitude,narrative
68,517,2022-08-02,Orlando,Orange County,FL,1,4,0,Shooting,,False,False,Family,Undetermined,Residence/Other shelter,Residence,12095016735.0,-81.237221,28.4233,"Donovan Ramirez, 45, killed his wife, adult daughter, and two younger daughters, after which he took his own life. "
69,515,2022-07-16,Houston,Harris County,TX,1,4,0,Shooting,,False,False,Suspected felony,Gang conflict,Residence/Other shelter,Residence,48201550307.0,-95.451303,30.00134,An argument inside an apartment resulted in four people being fatally shot. Eric Reyes has been arrested in the case. 
70,514,2022-07-04,Highland Park,Lake County,IL,1,7,30,Shooting,,False,False,Public,Indiscriminate,Open space,Open space,17097865400.0,-87.80086,42.18512,"Dressed in women's clothing for disguise purposes, Robert Crimo, 21, allegedly opened fire from a rooftop down at a July 4th parade, killing seven and injuring dozens more. He then drove to Madison, WI, where reportedly, he contemplated another attack. Instead, he returned to Illinois and was arrested, having been identified by a trace of the weapon discarded at the scene. Crimo was charged and is awaiting trial."
71,513,2022-06-07,Portsmouth,Portsmouth city,VA,2,4,0,Shooting,,False,False,Felony,Undetermined,Residence/Other shelter,Residence,51740212000.0,-76.31093,36.82766,"Two men came to the door of a home and once inside shot four people. Three died at the scene, and a fourth died three days later from his injuries. Raymond Lee Gore, 57, and Antwann Jacque Gore, 40, were arrested but the original charges against them were dropped for lack of evidence. However, they were subsequently indicted by the grand jury. Raymond Gore was later acquitted at trial, while Antwann Gore has not yet gone to trial. "
72,511,2022-06-02,Centerville,Leon County,TX,1,5,0,Shooting,Stabbing,False,False,Felony,Robbery,Residence/Other shelter,Residence,48289950301.0,-96.00566,31.25321,"Escaped felon Gonzalo Lopez allegedly killed a man and his grandchildren at his ranch near Centerville, Texas. Lopez was pursued and killed by law enforcement officers. "
73,510,2022-06-01,Tulsa,Tulsa County,OK,1,4,0,Shooting,,False,False,Public,Interpersonal conflict,Medical facility,Medical facility,40143006905.0,-95.903806,36.101267,"Blaming his doctor for his post-operative back pain, Michael Louis allegedly killed the doctor as well as three others that were in his path. He then took his own life. "
74,509,2022-05-27,Stanwood,Mecosta County,MI,1,4,0,Shooting,,False,False,Family,Undetermined,Residence/Other shelter,Residence,26107960800.0,-85.45126,43.58098,Charles Gillard allegedly shot and killed his wife and three children. He then shot himself but survived the injury. Gillard pleaded Nolo Condendere and was sentenced to life in prison.
75,508,2022-05-24,Uvalde,Uvalde County,TX,1,21,17,Shooting,,False,False,Public,Indiscriminate,School/College,School,48463950500.0,-99.78786,29.1997,"Firing off hundreds of rounds, 18-year-old Salvador Ramos fatally shot 19 children and two teachers at the Robb Elementary School. Right before the attack at the school, Ramos shot and injured his grandmother. He was killed in a shootout with responding police. "
76,507,2022-05-14,Buffalo ,Erie County,NY,1,10,3,Shooting,,False,True,Public,Hate,Commercial/Retail/Entertainment,Commercial/Retail,36029016801.0,-78.85435,42.90773,"Dressed in camouflage, Payton Gendron, 18, allegedly started shooting at customers at a supermarket in a predominantly Black neighborhood, killing 10 and wounding three others. He reportedly was shouting racial epithets and live streaming the attack. Gendron pleaded guilty to charges carrying a mandatory sentence of life without parole."
78,506,2022-04-27,Gulfport,Harrison County,MS,1,4,0,Shooting,,False,False,Suspected felony,Interpersonal conflict,Residence/Other shelter,Hotel/Motel,28047001302.0,-88.99631,30.38916,"Jeremy Raynolds fatally shot three victims at a Biloxi hotel, then carjacked a vehicle in Guilford and shot the driver (who died in surgery). The gunman committed suicide during a stand-off with the police. "
79,504,2022-04-21,Mountain View,Stone County,AR,1,4,0,Shooting,,False,False,Felony,Robbery,Residence/Other shelter,Residence,5137950203.0,-91.93404,35.75785,A pair of double homicides occurred in homes one-quarter mile apart. Donnie Trammell was arrested for the crime and is awaiting trial. 
80,503,2022-04-20,Duluth,St. Louis County,MN,1,4,0,Shooting,,False,False,Family,Despondency,Residence/Other shelter,Residence,27137001300.0,-92.0892,46.80287,"Conducting a welfare check because of a reported mental health crisis, the police found five people and a dog dead inside a Duluth home.  Brandon Taylor Cole-Skogstad, 29, had shot his aunt, uncle, two young cousins and their dog while the family slept Tuesday night, police said. He later killed himself with the murder weapon when the police arrived at the house the next afternoon."
81,502,2022-04-03,Sacramento,Sacramento County,CA,3,6,10,Shooting,,False,False,Felony,Gang conflict,Open space,Open space,6067001103.0,-121.49376,38.57881,"In a confrontation between rival gangs, six people (three male gang members and three female bystanders) were killed and 10 others wounded in a shooting in Downtown Sacramento, CA. Three men have been arrested in connection to the shooting. "
82,501,2022-02-28,Sacramento,Sacramento County,CA,1,4,0,Shooting,,False,False,Family,Family issue,House of Worship,House of worship,6067009900.0,-121.489255,38.342289,"David Mora-Rojas, who was under a restraining order obtained by the mother of his children, killed his three daughters plus a chaperone during a supervised visit held inside a church and then took his own life."
83,500,2022-02-05,Corsicana,Navarro County,TX,1,5,2,Shooting,,False,False,Family,Other,Residence/Other shelter,Residence,48349970302.0,-96.495438,32.083549,"Kevin Milazzo killed four family members, including a child, and wounded three others in two residences in Navarro County, near Dallas. He then took his own life inside his vehicle.  "
84,498,2022-01-23,Inglewood,Los Angeles County,CA,4,4,1,Shooting,,False,False,Suspected felony,Gang conflict,Residence/Other shelter,Residence,6037600912.0,-118.34521,33.97945,"Four people were killed and one injured at a shooting that occurred at a birthday party. It is believed to be gang related. In August 2023, three men were charged in connection with the homicides. "
85,499,2022-01-23,Milwaukee,Milwaukee County,WI,1,6,0,Shooting,,False,False,Felony,Drug trade,Residence/Other shelter,Residence,55079185400.0,-87.93873,43.06415,"Five people were found dead plus another who died soon thereafter at a Milwaukee residence. According to the police, the homicides stemmed from a robbery associated with illicit drug trade. It is believed that the attack occurred three days before the bodies were found. Travis Birkley was subsequently arrested in connection to the crime and is awaiting trial."
86,497,2021-12-31,Gulfport,Bolivar County,MS,6,4,3,Shooting,,False,False,Suspected felony,Gang conflict,Residence/Other shelter,Residence,28011950702.0,-90.71742,33.73271,"Gunfire erupted at a New Year’s Eve party. Three victims perished that night, and another died at the hospital days later. Two other shooting victims survived their injuries. There is evidence of gang connection, according to the police. Xavier Preston, Mario Clark, Vincent Armstrong, Bobby Hands, Latavian Bland, and Khalid Williams were charged and are awaiting trial. Breanna Necole Riley, 23, was also arrested and charged with one count of hindering prosecution or apprehension."
87,496,2021-12-27,Denver,Denver County,CO,1,5,2,Shooting,,False,False,Public,Interpersonal conflict,Multiple,Multiple,8031002000.0,-104.992361,39.739317,"Lyndon McLeod, 47, went on a shooting spree that started at a Denver tattoo parlor and ended in Lakewood. The assailant killed five victims and wounded two others. The wounded included a police officer. The gunman was killed in a shootout with the police."
89,494,2021-11-30,Oxford,Oakland County,MI,1,4,7,Shooting,,False,False,Public,Indiscriminate,School/College,School,26125121000.0,-83.26225,42.83893,"After meeting with school counselors and his parents concerning a disturbing drawing a teacher found on his desk, sophomore Ethan Crumbley killed four and wounded seven others at his high school in Oxford, Mich. using a semiautomatic handgun that was hidden inside his backpack. Crumbley pleaded guilty to murder and was sentenced to life without parole. "
90,493,2021-11-28,Lancaster,Los Angeles County,CA,1,5,0,Shooting,,False,False,Family,Interpersonal conflict,Residence/Other shelter,Residence,6037900510.0,-118.0791,34.68691,"Germarcus David, 29, allegedly killed his four children and their grandmother. David was charged and is awaiting trial."
92,491,2021-11-14,Tucson,Pima County,AZ,0,4,0,Shooting,,False,False,Suspected felony,Gang conflict,Residence/Other shelter,Residence,4019002504.0,-111.0,32.1775,"Police responded to a trailer park and found three people dead. A fourth person died later at the hospital. The authorities did not believe the shooting to be a random act, but a confrontation between two groups. The case remains unsolved."
93,488,2021-10-21,Tacoma,Pierce County,WA,1,4,0,Shooting,,False,False,Undetermined,Undetermined,Residence/Other shelter,Residence,53053940006.0,-122.39927,47.21759,"Two women and one man were killed in a shooting at a Tacoma residence. At fourth victim died shortly thereafter at the hospital. Maleke Pate, 22, was charged and is awaiting trial."
94,487,2021-10-20,Clare,Clare County,MI,1,4,0,Shooting,,False,False,Family,Undetermined,Residence/Other shelter,Residence,26035000400.0,-84.8284,43.8461,"Two people were shot to death and the bodies of two others were found on a property in central Michigan. Judy Boyer, 54, pleaded guilty and was sentenced to life without parole eligibility."
95,485,2021-09-25,Riceville,McMinn County,TN,2,4,0,Shooting,,False,False,Family,Interpersonal conflict,Residence/Other shelter,Residence,47107970802.0,-84.6951,35.3731,A dispute over custody of a 10-month-old led to the shooting death of four people. Curtis Smith and Jazzmine Hall were both charged and are awaiting trial.
96,484,2021-09-12,Saint Paul,Ramsey County,MN,1,4,0,Shooting,,False,False,Felony,Interpersonal conflict,Vehicle,Vehicle,27123036000.0,-93.094281,44.943719,"Four victims were found shot to death inside an SUV in the middle of a Wisconsin cornfield. However, they were killed in Saint Paul, MN. Antoine Suggs was charged in the murders and is awaiting trial."
97,483,2021-09-05,Houston,Harris County,TX,1,4,0,Shooting,,False,False,Family,Family issue,Residence/Other shelter,Residence,48201420800.0,-95.461655,29.683626,"Responding to a house fire, the authorities discovered four people—two adults and two children—fatally shot. There was no forced entry, having the police believing it was a domestic incident. The suspect, 23-year-old William Escaño, took his own life."
98,482,2021-09-05,Lakeland,Polk County,FL,1,4,2,Shooting,,False,False,Other,Indiscriminate,Residence/Other shelter,Residence,12105012207.0,-81.946172,28.110661,"According to the police, Bryan Riley, an ex-marine, fatally shot four victims and injured another. After exchanging gunfire with responding officers and the SWAT team (during which an officer was injured), the assailant, who had been injured by the police, surrendered. Riley was charged and is awaiting trial. Prosecutors are seeking the death penalty and the trial is expected to commence in 2024."
99,479,2021-07-25,Wasco ,Kern County,CA,1,4,1,Shooting,,True,False,Family,Interpersonal conflict,Residence/Other shelter,Residence,6029004403.0,-119.34263,35.60057,"According to the authorities, Jose Ramirez killed his 42-year-old wife and two sons, ages 17 and 24, inside the family home, as well as a Kern County deputy sheriff who had responded to the scene. Ramirez was killed during a stand-off with the police."
100,478,2021-07-20,Cherokee County,Cherokee County,TX,3,4,0,Shooting,,False,False,Felony,Robbery,Residence/Other shelter,Residence,48073950400.0,-95.2705,31.9638,"Four victims were found shot to death—one in the driveway and three others inside the residence. The three suspects reportedly met up with one of the victims under the pretense of buying a gun from him but actually planned to steal it. Dylan Welch, Billy Phillips, and Jesse Pawlowski were charged and are awaiting trial. In February 2023, the Cherokee County District Attorney filed a motion to not seek the death penalty for Welch, but the punishment is still on the table for Pawlowski and Phillips. "
102,477,2021-06-18,North Bend,Coos County,OR,1,4,1,Shooting,Vehicle crash,False,False,Public,Indiscriminate,Open space,Open space,41011000300.0,-124.219569,43.394666,"According to the police, Oen Nicholson killed his father and took his truck. The police say that he then ran over several people in an RV park and shot a woman at a marijuana dispensary. He later kidnapped a woman and forced her to drive to Wisconsin. Nicholson was charged and is awaiting trial."
103,476,2021-06-15,Chicago,Cook County,IL,1,5,3,Shooting,,False,False,Unsolved,Interpersonal conflict,Residence/Other shelter,Residence,17031834800.0,-87.64938,41.78084,"An argument during a house party resulted in the shooting death of five victims and injury to three others, The case remains unsolved."
104,475,2021-06-06,Portland,Multnomah County,OR,3,4,1,Shooting,,False,False,Felony,Robbery,Residence/Other shelter,Residence,41051000802.0,-122.619011,45.49231,"Four people were shot and killed at a Southeast Portland home. A man who was wounded called 911 from inside the home to report the shooting.  Three men flew in from Texas after arranging a marijuana deal. The deal went bad, the sources said, and a shootout occurred. Michael Lenoire was arrested and is awaiting trial."
106,472,2021-05-26,San Jose,Santa Clara County,CA,1,9,1,Shooting,,False,False,Public,Employment grievance,Government/Transit,Government/Transit,6085500200.0,-121.90704,37.35436," Samuel Cassidy, 57, allegedly opened fire at a light rail yard of the Santa Clara Valley Transportation Authority, killing nine people and then himself.  Cassidy was an employee at the rail yard."
107,471,2021-05-24,West Jefferson,Madison County,OH,1,4,0,Shooting,,False,False,Suspected felony,Robbery,Residence/Other shelter,Residence,39097040400.0,-83.27346,39.947151,"Four people were killed in a shooting at an apartment in West Jefferson, a suburb near Columbus. Three victims were found inside the apartment and one other person was found outside. John Steckel, 35, was charged and is awaiting trial."
108,469,2021-05-09,Colorado Springs,El Paso County,CO,1,6,0,Shooting,,False,False,Family,Interpersonal conflict,Residence/Other shelter,Residence,8041006502.0,-104.732188,38.79163,"Teodoro Macia, 28, killed his girlfriend and others at a birthday party and then took his own life. "
109,468,2021-04-28,Boone,Watauga County,NC,1,4,0,Shooting,,False,False,Family,Despondency,Residence/Other shelter,Residence,37189920703.0,-81.604184,36.212644,"Two police officers were fatally shot when conducting a welfare check. After a 13-hour standoff, Isaac Barnes, who had also killed his mother and stepfather, took his own life.  "
110,467,2021-04-15,Indianapolis,Marion County,IN,1,8,4,Shooting,,False,True,Public,Indiscriminate,Commercial/Retail/Entertainment,Commercial/Retail,18097390802.0,-86.322351,39.681238,"According to the authorities, Brandon Hole, a former employee of FedEx, entered the facility near the Indianapolis airport and started firing outside and then inside, killing 9 and injuring 4, before taking his own life. FedEx said Hole worked at the facility from August to October 2020. His employment was terminated when he failed to return to work."
111,466,2021-04-07,Rock Hill,York County,SC,1,6,0,Shooting,,False,False,Other,Interpersonal conflict,Residence/Other shelter,Residence,45091061302.0,-81.05856,34.85225,"A doctor, his wife, their two grandchildren, and two HVAC workmen were fatally shot in the doctor’s home. After negotiations with the police failed to get him to surrender, the suspect Philip Adams, a former NFL player, committed suicide."
112,465,2021-04-03,Allen,Collin County,TX,2,4,0,Shooting,,False,False,Family,Despondency,Residence/Other shelter,Residence,48085031425.0,-96.63162,33.09165,"Two brothers, Tanvir and Farhan Towhid, formed a suicide pact which included killing the other four family members. The police found the 6 bodies while conducting a welfare check. "
113,464,2021-03-31,Orange,Orange County,CA,1,4,1,Shooting,,False,False,Public,Interpersonal conflict,Commercial/Retail/Entertainment,Commercial/Retail,6059076201.0,-117.85378,33.83507,"After locking the courtyard gate, Aminadab Galaxio-Gonzales allegedly entered the office of United Homes, a mobile homes real estate business on West Lincoln Avenue, and opened fire, killing the owner, his daughter, a longtime employee, and a 9-year-old boy. The boy’s mother was wounded and later released from the hospital. She also worked at Unified Homes. When police arrived, they found the woman’s arms wrapped around her son. In addition, the assailant’s ex-wife was a former employee of the company. Galaxio-Gonzales was arrested and subsequently rueled incompetent to stand trial."
114,463,2021-03-28,Baldwin and Essex,Baltimore County,MD,1,4,1,Shooting,,False,False,Other,Undetermined,Multiple,Multiple,24005410200.0,-76.51419,39.50149,"Joshua Green fatally shot his parents. He then drove to the Essex Royal Farms convenience store where he shot three, two of them fatally. He then committed suicide. "
115,462,2021-03-22,Boulder,Boulder County,CO,1,10,0,Shooting,,False,False,Public,Indiscriminate,Commercial/Retail/Entertainment,Commercial/Retail,8013012508.0,-105.237719,39.98352,"Ten people, including a Boulder police officer, were killed in a shooting at the King Soopers supermarket in Boulder, Colo. Ahmad Al Aliwi Alissa was arrested and treated for injuries. Allissa was ruled incompetent to stand trial."
116,460,2021-03-16,Acworth,Cherokee County,GA,1,8,1,Shooting,,False,False,Public,Hate,Commercial/Retail/Entertainment,Commercial/Retail,13057091014.0,-84.57626,34.094144,"A 21-year-old Georgia man was arrested in the killings of eight people at three Atlanta-area massage parlors (one in Acworth some 30 miles from Atlanta and two in the city of Atlanta). Six of those killed were women of Asian descent. According to authorities, the assailant, Robert Aaron Long, had previously visited the two Atlanta spas. Long claimed he was a sex-addict and was trying to eliminate temptation. Long pleaded guilty and received a sentence of life without parole."
117,459,2021-03-13,Indianapolis,Marion County,IN,1,4,1,Shooting,,False,False,Family,Interpersonal conflict,Residence/Other shelter,Residence,18097354500.0,-86.128322,39.771396,"A woman injured by gunfire directed the police to a home where they found four people, including a child, shot dead. The woman was taken to a hospital in stable condition. Police indicated that the incident was the result of a disagreement in the home that escalated to gunfire. Reportedly, the dispute involved the COVID-19 stimulus check. Malik Halfacre reportedly wanted half of the $1,400, but the woman who survived a gunshot refused to share that much. Halfacre was charged and is awaiting trial. "
118,457,2021-02-02,Muskogee,Muskogee County,OK,1,6,2,Shooting,,False,False,Family,Interpersonal conflict,Residence/Other shelter,Residence,40101000902.0,-95.34809,35.73208,"Officers responding to a 911 call about a shooting encountered an armed suspect at the house, The suspect Jarron Pridgeon fled on foot after an officer fired but missed. Pridgeon was arrested after a short pursuit. Found dead inside the house were the suspect's brother and four children. Another child died after being taken by air to a hospital in Tulsa. The children's mother suffered life-threatening injuries and was taken to a Tulsa hospital and was reported to be in stable condition. Three other children in the home were not injured. Pridgeon was charged and is awaiting trial."
119,455,2021-01-24,Indianapolis,Howard County,IN,1,5,1,Shooting,,False,False,Family,Interpersonal conflict,Residence/Other shelter,Residence,18067000200.0,-86.10843,40.497092,"Five adults, one of whom was pregnant, were found dead inside a residence. Investigators were led to the crime scene after making contact with a 15-year-old male who was found nearby suffering from gunshot wounds. Raymond Childs, 17, was charged and is awaiting trial."
120,453,2021-01-09,Evanston,Cook County,IL,1,5,3,Shooting,,False,False,Public,Indiscriminate,Multiple,Multiple,17031810301.0,-87.690407,42.01965,"Jason Nightengale shot seven victims, four of them fatally, during a four-hour rampage that started in Chicago and ended in Evanston, where he was shot dead by police.  "
121,450,2020-12-25,Atkins,Fulton County,AR,1,4,0,Shooting,,False,False,Family,Family issue,Residence/Other shelter,Residence,5049550202.0,-92.08973,36.31588,"Five females were found dead in an apparent murder-suicide. The relationship of the victims was not disclosed, although authorities described the killings as ""domestic related."" There has also been no report of which was the offender. "
122,449,2020-12-22,Meridian,Lauderdale County,MS,1,4,0,Shooting,,False,False,Family,Family issue,Residence/Other shelter,Residence,28075010501.0,-88.66053,32.29563,"Conducting a welfare check, Lauderdale County deputies found three bodies at a residence and another at a nearby location. The assailant Matthew Tucker killed himself during pursuit by law enforcement. "
123,448,2020-12-13,Elkview,Kanawha County,WV,2,4,0,Shooting,,False,False,Family,Interpersonal conflict,Residence/Other shelter,Residence,54039011302.0,-81.4833,38.43356,"Two teenagers, Gavin Smith and Rebecca Walker, reportedly shot four victims to death in their home. The victims were the boy’s family. Smith was convicted and is awaiting sentencing, while Walker pleaded guilty and received a 10-year prison sentence."
124,461,2020-12-08,Williamsburg,Greenbrier County,WV,1,5,0,Shooting,Smoke inhalation & burns,False,False,Family,Despondency,Residence/Other shelter,Residence,54025950200.0,-80.507432,37.9946,"Oreanna Myers shot her five children, set the house on fire, and went outside and killed herself. The investigation subsequently concluded that it was murder-suicide. "
125,447,2020-11-30,Palmer,Matanuska-Susitna Borough,AK,1,4,0,Shooting,,False,False,Family,Undetermined,Residence/Other shelter,Residence,2170001201.0,-149.108573,61.609945,"Malachi Maxon, 18, just out of jail for assault, allegedly killed four members of his family. The shootings occurred at two locations about a 30-minute drive apart. A 6-year-old was apparently spared during the early morning shooting spree north of Anchorage because of defective bullets. Maxon was charged and is awaiting trial."
126,446,2020-09-07,Aguanga,Riverside County,CA,1,7,0,Shooting,,False,False,Felony,Drug trade,Residence/Other shelter,Residence,6065044406.0,-116.859664,33.456596,"Seven people were fatally shot at a residence authorities believe was being used ""to manufacture and harvest an illicit marijuana operation."" Six of the victims were killed at the scene and a seventh was hospitalized and died later the same day. Sheriff Chad Bianco said that the illegal marijuana growing and processing operation was run by a local Laotian organized crime syndicate believed to be based in the U.S.The case is unsolved."
127,444,2020-08-15,Belleville,Wayne County,MI,1,4,0,Shooting,,False,False,Family,Family issue,Residence/Other shelter,Residence,26163589300.0,-83.447591,42.139732,"Four cousins were shot to death allegedly by Raymond Bailey, the former fiancé of one of the victims who had previously been accused of domestic violence. Bailey was arrested, but died prior to trial from injuries he received while fleeing the police."
129,442,2020-07-28,Elyira,Lorain County,OH,1,4,0,Shooting,,False,False,Family,Undetermined,Residence/Other shelter,Residence,39093070400.0,-82.114119,41.383813," Officers were called to 537 Willow Park Road just after 8:00 a.m. on July 29, 2020 for a welfare check. When they arrived, they found five people dead inside the house. All five sustained what appeared to be gunshot wounds.  In what appeared to be a murder-suicide, 44-year-old John Nelson fatally shot his wife and three children before turning the gun on himself. It is believed that the deaths occurred on July 28."
130,441,2020-07-19,Detroit,Wayne County,MI,1,4,0,Shooting,,False,False,Public,Interpersonal conflict,Commercial/Retail/Entertainment,Bar/Club/Restaurant,26163533400.0,-83.117442,42.36987,"According to authorities, 25-year-old Mickey Dane Douglas, while out on parole for robbery conviction, claimed someone made a comment about his gym shoes that made him feel threatened. He then shot four people, three of whom died at the scene and a fourth who died days later from his injuries. Douglas was charged and is awaiting trial."
131,440,2020-07-07,Paterson,Passaic County,NJ,1,4,3,Shooting,,False,False,Felony,Gang conflict,Open space,Open space,34031181500.0,-74.161549,40.922856,"Seven people were shot, four of them fatally, in a hail of gunfire in Paterson, NJ after 11 pm in what has been called a gang-related incident. The case is unsolved."
132,439,2020-07-04,Chicago,Cook County,IL,1,4,4,Shooting,,False,False,Unsolved,Undetermined,Open space,Open space,17031839100.0,-87.632398,41.883229,"Four people were killed and four wounded in a shooting in Englewood on the South Side. They were at a large gathering in the street about 11:35 p.m. in the 6100 block of South Carpenter Street when four males walked up and started shooting, according to Chicago police. This case is unsolved."
133,438,2020-06-22,Charlotte,Mecklenburg County,NC,2,4,5,Shooting,Vehicle crash,False,False,Public,Undetermined,Open space,Open space,37119004800.0,-80.855184,35.260115,"A crowd initially gathered on the street for an unrelated Juneteenth celebration. Crowds gathered again nightly through Sunday, and police said there were about 400 people on the scene when shots rang out at about 12:30 am early in the morning. Three victims were initially reported dead and a fourth died a day later at the hospital. A total of 181 shell casings were found at the scene. The case remains unsolved."
